Schlüsselnummer;Kreis/Landkreis;Insgesamt;Männlich;Weiblich
1001;Flensburg, Stadt;85 942;42 767;43 175
1002;Kiel, Landeshauptstadt;246 306;119 835;126 471
1003;Lübeck, Hansestadt;216 253;103 683;112 570
1004;Neumünster, Stadt;79 197;39 118;40 079
1051;Dithmarschen;132 917;65 512;67 405
1053;Herzogtum Lauenburg;192 999;94 684;98 315
1054;Nordfriesland;163 960;80 319;83 641
1055;Ostholstein;199 574;96 412;103 162
1056;Pinneberg;307 471;150 455;157 016
1057;Plön;128 304;62 349;65 955
1058;Rendsburg-Eckernförde;270 378;133 002;137 376
1059;Schleswig-Flensburg;196 839;97 496;99 343
1060;Segeberg;267 503;131 777;135 726
1061;Steinburg;131 457;65 047;66 410
1062;Stormarn;239 614;117 002;122 612
2000;Hamburg, Freie und Hansestadt;1 787 408;873 062;914 346
3101;Braunschweig, Stadt;251 364;125 001;126 363
3102;Salzgitter, Stadt;101 079;49 898;51 181
3103;Wolfsburg, Stadt;124 045;61 581;62 464
3151;Gifhorn;174 205;87 129;87 076
3152;Göttingen;255 653;126 142;129 511
3153;Goslar;138 236;68 245;69 991
3154;Helmstedt;91 500;45 354;46 146
3155;Northeim;134 896;66 394;68 502
3156;Osterode am Harz;73 885;36 192;37 693
3157;Peine;132 320;65 493;66 827
3158;Wolfenbüttel;120 981;59 846;61 135
3241;Region Hannover;1 144 481;559 775;584 706
3251;Diepholz;213 976;106 475;107 501
3252;Hameln-Pyrmont;148 281;71 606;76 675
3254;Hildesheim;277 055;135 007;142 048
3255;Holzminden;71 659;35 481;36 178
3256;Nienburg (Weser);120 632;59 947;60 685
3257;Schaumburg;156 206;76 229;79 977
3351;Celle;177 971;87 543;90 428
3352;Cuxhaven;198 103;97 064;101 039
3353;Harburg;248 122;122 089;126 033
3354;Lüchow-Dannenberg;50 128;24 991;25 137
3355;Lüneburg;180 719;88 448;92 271
3356;Osterholz;113 579;56 098;57 481
3357;Rotenburg (Wümme);163 253;82 229;81 024
3358;Heidekreis;140 264;70 371;69 893
3359;Stade;200 054;99 894;100 160
3360;Uelzen;93 131;45 631;47 500
3361;Verden;134 645;66 140;68 505
3401;Delmenhorst, Stadt;76 323;37 823;38 500
3402;Emden, Stadt;50 694;25 249;25 445
